Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Justin Kier,AUS,30,17,12,511,52,115,0.452,18,45,0.4,34,70,0.486,0.53,16,21,0.762,7,56,63,86,18,2,41,32,151,
Louis King,DEL,23,18,17,530,108,219,0.493,44,110,0.4,64,109,0.587,0.594,17,24,0.708,13,70,83,104,29,6,41,33,288,
Mojave King,GLI,29,18,5,440,46,116,0.397,10,45,0.222,36,71,0.507,0.44,16,20,0.8,12,67,79,26,7,5,18,29,130,
Landon Kirkwood,SXF,21,12,3,235,27,72,0.375,16,49,0.327,11,23,0.478,0.486,4,6,0.667,9,29,38,9,8,2,13,20,78,
Noah Kirkwood,LIN,30,20,2,402,48,123,0.39,20,64,0.313,28,59,0.475,0.472,3,5,0.6,9,68,77,55,14,5,25,44,121,
Christian Koloko,RAP,22,5,5,143,26,44,0.591,1,7,0.143,25,37,0.676,0.602,10,14,0.714,21,28,49,4,4,17,12,14,68,
Vit Krejci,CPS,22,3,3,102,8,20,0.4,2,6,0.333,6,14,0.429,0.45,5,10,0.5,8,21,29,9,0,2,3,6,27,
Tommy Kuhse,AUS,24,18,0,346,62,125,0.496,14,45,0.311,48,80,0.6,0.552,12,15,0.8,8,42,50,45,12,2,33,19,156,
Riley LaChance,BIR,24,14,0,170,16,46,0.348,6,29,0.207,10,17,0.588,0.413,2,3,0.667,3,12,15,29,4,0,6,11,43,
Jake LaRavia,MHU,21,13,13,379,85,175,0.486,37,94,0.394,48,81,0.593,0.591,27,30,0.9,19,50,69,37,14,8,34,35,253,
A.J. Lawson,TEX,22,2,1,37,12,20,0.6,4,7,0.571,8,13,0.615,0.7,0,0,,4,9,13,4,3,1,4,1,28,
Jalen Lecque,RGV,22,15,15,483,90,208,0.433,14,57,0.246,76,151,0.503,0.466,60,76,0.789,14,49,63,93,21,14,41,31,286,
Saben Lee,RAP,23,5,5,180,32,69,0.464,6,17,0.353,26,52,0.5,0.507,8,14,0.571,11,12,23,41,13,5,15,13,83,
Kira Lewis Jr.,BIR,21,2,2,63,9,27,0.333,2,12,0.167,7,15,0.467,0.37,3,3,1,0,3,3,11,4,0,2,6,26,
Matt Lewis,IWA,24,18,15,547,75,187,0.401,46,116,0.397,29,71,0.408,0.524,23,30,0.767,9,59,68,45,12,5,26,30,235,
Scottie Lindsey,MNE,26,18,5,431,57,149,0.383,21,81,0.259,36,68,0.529,0.453,13,13,1,14,39,53,21,4,10,16,38,158,
Kenneth Lofton Jr.,MHU,30,15,13,435,115,213,0.54,10,41,0.244,105,172,0.61,0.563,41,62,0.661,42,116,158,62,19,11,60,50,309,
Denzel Mahoney,AUS,25,13,4,279,19,52,0.365,12,42,0.286,7,10,0.7,0.481,6,9,0.667,2,6,8,12,9,1,4,34,58,
Makur Maker,CCG,32,20,15,408,44,106,0.415,22,63,0.349,22,43,0.512,0.519,14,17,0.824,22,84,106,20,4,13,25,47,135,
Theo Maledon,GBO,21,14,13,407,70,155,0.452,18,58,0.31,52,97,0.536,0.51,23,34,0.676,7,69,76,63,15,8,45,20,195,
Sandro Mamukelashvili,WIS,23,4,4,146,36,74,0.486,8,17,0.471,28,57,0.491,0.541,8,12,0.667,23,29,52,19,4,4,10,11,93,
Kelan Martin,BIR,27,19,19,594,132,271,0.487,43,109,0.394,89,162,0.549,0.566,46,49,0.939,16,52,68,55,16,7,37,31,382,
Tyrese Martin,CPS,31,12,12,398,83,163,0.509,16,47,0.34,67,116,0.578,0.558,22,26,0.846,21,80,101,21,8,2,35,24,220,
Dakota Mathias,MHU,27,19,16,577,109,227,0.48,62,144,0.431,47,83,0.566,0.617,18,21,0.857,11,66,77,42,16,7,19,32,310,
Charles Matthews,WCB,26,16,0,269,20,61,0.328,7,36,0.194,13,25,0.52,0.385,12,16,0.75,17,40,57,4,8,3,8,12,66,
Skylar Mays,DEL,25,13,1,249,36,99,0.364,8,46,0.174,28,53,0.528,0.404,12,13,0.923,4,29,33,50,6,3,17,12,101,
Patrick McCaw,DEL,27,18,1,371,39,87,0.448,15,50,0.3,24,37,0.649,0.534,5,5,1,9,30,39,42,25,3,14,23,100,
Mac McClung,DEL,24,18,16,467,121,209,0.579,39,78,0.5,82,131,0.626,0.672,38,45,0.844,9,40,49,85,14,5,30,20,343,
Brandon McCoy,SXF,24,1,0,8,2,2,1,0,0,,2,2,1,1,1,1,1,1,4,5,0,0,0,0,0,5,
Javante McCoy,SBL,22,17,0,432,101,187,0.54,20,49,0.408,81,138,0.587,0.594,13,15,0.867,14,59,73,63,7,5,25,25,242,
Sean McDermott,MHU,31,15,5,341,53,118,0.449,26,73,0.356,27,45,0.6,0.559,5,7,0.714,13,46,59,27,9,5,11,15,142,
Trey McGowens,LIN,21,11,0,108,11,23,0.478,2,4,0.5,9,19,0.474,0.522,5,9,0.556,3,9,12,15,9,1,14,17,34,
Alfonzo McKinnie,MXC,30,14,3,364,61,154,0.396,13,58,0.224,48,96,0.5,0.438,12,20,0.6,23,58,81,15,9,4,25,38,155,
JaQuori McLaughlin,SCW,25,4,0,46,5,13,0.385,1,5,0.2,4,8,0.5,0.423,1,2,0.5,2,8,10,6,0,2,4,6,13,
Orlando Mendez,MXC,20,5,0,43,10,16,0.625,9,14,0.643,1,2,0.5,0.906,0,0,,0,1,1,2,1,0,2,5,29,
Sam Merrill,CLC,26,14,14,469,78,171,0.456,45,108,0.417,33,63,0.524,0.588,18,21,0.857,3,35,38,35,19,3,21,45,230,
Eric Mika,GLI,28,15,15,397,91,131,0.695,0,0,,91,131,0.695,0.695,19,30,0.633,48,98,146,59,16,11,25,39,210,
Isaiah Miller,SLC,24,18,2,330,51,116,0.44,4,19,0.211,47,97,0.485,0.457,5,14,0.357,29,36,65,31,18,2,26,29,113,
Leonard Miller,GLI,25,13,9,350,85,154,0.552,9,27,0.333,76,127,0.598,0.581,13,19,0.684,38,83,121,13,11,7,22,33,203,
